Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.133073833e0,3.595317231e-2,-1.766739864e-2,-3.167144358e-2,5.106709226e-2
2.143005833e0,1.550913652e-2,-2.270128487e-2,-1.595471263e-2,3.178733247e-2
2.152937833e0,1.795847121e-2,-2.617229258e-2,-2.867942333e-2,4.277855666e-2
2.162869833e0,8.816312989e-3,-1.332188501e-2,-2.299125195e-2,2.799638657e-2
2.172802833e0,1.325716593e-2,-2.443177748e-2,-2.373911083e-2,3.655420061e-2
2.182734833e0,2.855745864e-2,-2.910609649e-2,-2.029627025e-2,4.554812710e-2
2.192666833e0,2.244760022e-2,-1.269485336e-2,-3.691288769e-2,4.502904990e-2
2.202598833e0,4.334568372e-3,-7.164017754e-3,-2.658436596e-2,2.787185224e-2
2.212530833e0,2.688755552e-2,1.613082346e-3,-1.625467479e-2,3.146040573e-2
2.222462833e0,1.991453386e-2,-6.968519753e-3,-1.206456006e-2,2.430437277e-2
2.232394833e0,-4.367812991e-3,-1.061794977e-2,-1.715573072e-2,2.064310404e-2
2.242326833e0,6.583473750e-3,-2.374535090e-2,-2.269479811e-2,3.349981608e-2
2.252258833e0,-9.662014518e-3,-1.406533107e-2,-2.733573318e-2,3.222468574e-2
2.262190833e0,3.352163281e-2,-1.992207586e-2,-1.446425736e-2,4.159090902e-2
2.272123833e0,3.434928562e-3,-2.543788229e-2,2.900218964e-3,2.583207037e-2
2.282055833e0,1.560892977e-2,-1.987125076e-2,-8.478462696e-3,2.665313537e-2
2.291987833e0,2.561317999e-2,-1.927089703e-2,-2.479394853e-2,4.052335555e-2
2.301919833e0,2.313499980e-2,1.458149403e-5,-3.871616900e-2,4.510177569e-2
2.311851833e0,1.855562267e-2,-6.704362649e-3,-2.300060749e-2,3.030325983e-2
2.321783833e0,1.628899064e-2,-2.038176751e-2,-2.554823935e-2,3.651657427e-2
2.331715833e0,8.098489610e-3,-1.170339399e-2,-4.066504598e-2,4.308365037e-2
2.341647833e0,2.687734345e-3,-1.937606469e-2,-2.674341023e-2,3.313405785e-2
2.351579833e0,3.592481331e-3,-1.697260324e-2,-2.794092000e-2,3.288875481e-2
2.361512833e0,2.023128622e-2,-3.772948790e-2,-3.183341146e-2,5.334965121e-2
2.371444833e0,9.481118568e-3,-1.793698269e-2,-3.737247884e-2,4.252445334e-2
2.381376833e0,2.091493764e-2,-1.303612975e-2,-1.881224692e-2,3.100445016e-2
2.391308833e0,8.503151194e-3,-5.453341724e-3,-2.360345542e-2,2.567422100e-2
2.401240833e0,1.041526837e-2,-1.089838771e-2,-3.153637290e-2,3.495419125e-2
2.411172833e0,1.850604011e-2,-1.224052470e-2,-2.884197593e-2,3.638905798e-2
2.421104833e0,-2.111484390e-4,-6.640372183e-3,-2.629668295e-2,2.712295450e-2
2.431036833e0,1.235745074e-2,-8.067037985e-3,-2.569792807e-2,2.963388597e-2
2.440968833e0,1.171065276e-2,-2.097113944e-2,-2.495065391e-2,3.463326736e-2
2.450901833e0,1.159081910e-2,-1.838984041e-2,-2.435248375e-2,3.264317359e-2
2.460833833e0,2.483264065e-2,-1.897125464e-2,-1.162894249e-2,3.334367778e-2
2.470765833e0,1.315468890e-2,-2.545393473e-2,-1.207917809e-2,3.109429492e-2
2.480697833e0,6.844602178e-3,-2.625496672e-2,-1.896602869e-2,3.310411003e-2
2.490629833e0,2.041103328e-2,-1.261508455e-2,-7.290308475e-3,2.507786345e-2
2.500561833e0,4.680205055e-3,-5.671260143e-3,-1.552201867e-2,1.717558076e-2
2.510493833e0,1.015912378e-2,-2.108632045e-2,-3.273622155e-2,4.024302309e-2
2.520425833e0,1.817900717e-2,-1.666343171e-2,-2.555057824e-2,3.551025635e-2
2.530357833e0,7.345466448e-3,-2.328626225e-2,-2.180777550e-2,3.273812699e-2
2.540290833e0,7.237847988e-4,-3.685957753e-2,-2.839466393e-2,4.653395814e-2
2.550222833e0,1.482360531e-2,-2.574667923e-2,-3.198719323e-2,4.365559868e-2
2.560154833e0,2.379941024e-2,-5.957664074e-3,-2.570085168e-2,3.553082417e-2
2.570086833e0,7.702758734e-3,-1.767300831e-2,-2.599964440e-2,3.236740990e-2
2.580018833e0,1.304171430e-2,-1.111848056e-2,-1.836668909e-2,2.512055314e-2
2.589950625e0,1.662446093e-2,-3.293261491e-3,-2.420513391e-2,2.954838033e-2
2.599882625e0,9.161894855e-3,-8.670242233e-3,-1.896602869e-2,2.277770098e-2
2.609814625e0,1.304614539e-2,-1.409545337e-2,-1.746972620e-2,2.596295532e-2
2.619746625e0,1.761347635e-2,-1.623761737e-2,-3.558147669e-2,4.289447808e-2
2.629678625e0,9.564256382e-3,-2.219812282e-2,-2.180894494e-2,3.255551776e-2
2.639611625e0,3.400498512e-3,-2.260025594e-2,-1.642073572e-2,2.814205963e-2
2.649543625e0,1.705030040e-2,-8.054749696e-3,-2.180952966e-2,2.883136002e-2
2.659475625e0,1.146958074e-2,-4.731082683e-3,-2.315672815e-2,2.627105792e-2
2.669407625e0,2.022147842e-2,-8.814357826e-3,-2.465420008e-2,3.308218063e-2
2.679339625e0,6.201828725e-3,-2.379813116e-2,-2.360637903e-2,3.408921908e-2
2.689271625e0,2.290296813e-2,-2.891708524e-2,-1.881750941e-2,4.141065597e-2
2.699203625e0,1.174456204e-2,-2.488254298e-2,-1.507646084e-2,3.137475664e-2
2.709135625e0,-6.096247653e-4,-8.852529181e-3,-9.538562894e-3,1.302778175e-2
2.719067625e0,1.830072747e-2,-1.566942332e-2,-1.567580044e-2,2.874331527e-2
2.728999625e0,9.893347272e-3,-1.222586098e-2,-2.271117032e-2,2.762511998e-2
2.738932625e0,2.559025936e-2,-1.061927453e-2,-1.313226163e-2,3.066083269e-2
2.748864625e0,-5.177099614e-3,-2.114988151e-2,-3.553352952e-3,2.206232457e-2
2.758796625e0,1.042317353e-2,-1.145153431e-2,-8.493080735e-3,1.766104767e-2
2.768728625e0,1.339412553e-2,-2.300491981e-2,-1.582724333e-2,3.096983316e-2
2.778660625e0,1.965568950e-3,-4.896887792e-3,-2.705331266e-2,2.756310391e-2
2.788592625e0,3.938759838e-3,-1.047684914e-2,-1.448121428e-2,1.830256168e-2
2.798524625e0,1.297240196e-2,-1.326536802e-2,-1.777670503e-2,2.569561135e-2
2.808456625e0,2.536776138e-2,-1.125617336e-2,-2.526172578e-2,3.752838320e-2
2.818388625e0,3.847848425e-2,-1.468741086e-2,-3.199771821e-2,5.215522753e-2
2.828321625e0,1.453374101e-2,-1.341354012e-2,-2.855546236e-2,3.473567499e-2
2.838253625e0,2.264261171e-3,7.447498078e-3,-1.897596896e-2,2.051047304e-2
2.848185625e0,8.964658678e-3,-1.410604231e-2,-1.897538424e-2,2.528657236e-2
2.858117625e0,1.522582522e-2,-1.787076297e-2,-3.933305025e-2,4.580697289e-2
2.868049625e0,7.358254949e-3,-1.837619081e-2,-3.349577487e-2,3.890752162e-2
2.877981625e0,5.736753526e-3,-1.241662639e-2,-2.930624485e-2,3.234097926e-2
2.887913625e0,1.540231749e-2,-1.734464147e-2,-4.203154027e-2,4.800748223e-2
2.897845625e0,9.855344938e-4,-2.357980161e-2,-3.005819678e-2,3.821614209e-2
2.907777625e0,1.779474460e-3,-2.562325730e-2,-2.826134741e-2,3.818928648e-2
2.917709625e0,1.456865985e-2,-1.011431264e-3,-1.164706886e-2,1.867948222e-2
2.927642625e0,4.267049020e-3,3.260919079e-4,-9.998738766e-3,1.087606639e-2
2.937574625e0,5.659200260e-3,-1.061222132e-2,-2.182414770e-2,2.491865189e-2
2.947506625e0,1.896656088e-2,-1.049820975e-2,-2.062780738e-2,2.992405850e-2
2.957438625e0,7.368679438e-3,-1.820195292e-2,-1.494080544e-2,2.467460626e-2
