Time_s,Bx_nT,By_nT,Bz_nT,zAut_m
36037.4,512.222465,-65.5215748,135.459768,26.3
36037.5,502.460691,-71.0923323,139.901947,26.3
36037.6,491.557425,-88.3189198,153.259413,26.3
36037.7,490.622354,-88.8504707,164.398815,26.3
36037.8,492.65415,-67.2270932,150.123023,26.3
36037.9,498.116734,-39.6965118,133.091833,26.3
36038.0,503.820688,-44.2294384,133.544455,26.3
36038.1,508.041738,-44.3664326,125.522846,26.3
36038.2,520.015761,-51.2140323,115.249566,26.3
36038.3,528.579932,-46.280692,117.915337,26.3
36038.4,521.182652,-49.4854843,128.770642,26.3
36038.5,522.003905,-46.7560826,123.29839,26.3
36038.6,526.445337,-45.7832087,127.680623,26.3
36038.7,514.751282,-27.7631495,119.443388,26.3
36038.8,518.604366,-31.7836973,110.828885,26.3
36038.9,530.336893,-7.03980846,99.2835326,26.3
36039.0,533.076875,-6.14929418,92.2147453,26.3
36039.1,529.197654,-19.5448058,91.1733403,26.3
36039.2,534.703474,-40.0405714,101.957168,26.3
36039.3,535.273665,-43.8913794,103.063503,26.3
36039.4,524.813639,-39.271731,100.611851,26.3
36039.5,526.682616,-53.4633538,114.140675,26.3
36039.6,520.476475,-63.2646834,120.428044,26.3
36039.7,520.44474,-76.2751546,125.381051,26.3
36039.8,529.301885,-62.2435702,127.596595,26.3
36039.9,527.825165,-57.2673712,124.863305,26.3
36040.0,524.848631,-44.3294109,114.208162,26.3
36040.1,522.378816,-49.6707584,121.140448,26.3
36040.2,522.838265,-31.0678635,113.296191,26.3
36040.3,527.544052,-26.5810574,105.693112,26.3
36040.4,526.992376,-40.1178004,117.372067,26.3
36040.5,526.81543,-33.2889234,115.150757,26.3
36040.6,524.575643,-46.6162351,119.662491,26.3
36040.7,528.313927,-47.9040412,122.949259,26.3
36040.8,524.028739,-45.324396,119.450766,26.3
36040.9,517.265977,-48.7657663,123.130165,26.3
36041.0,516.299591,-54.1449234,125.356329,26.3
36041.1,522.729034,-30.0509139,115.061205,26.3
36041.2,522.342325,-15.1448223,114.554028,26.3
36041.3,521.773907,-6.06950908,117.316824,26.3
36041.4,522.050571,-7.43842785,116.451237,26.3
36041.5,523.813217,-3.63899068,113.115776,26.3
36041.6,526.160156,-6.72793935,119.578398,26.3
