Time_s,Bx_nT,By_nT,Bz_nT,zAut_m,zTrue_m
36.2,-33.9650529,45.2422737,-46.0061865,15.2,15.2
36.3,-29.2950898,29.7585588,-47.2526293,15.2,15.2
36.4,-28.1421204,9.40409045,-39.9504056,15.2,15.2
36.5,-28.197639,2.73107102,-28.7076002,15.2,15.2
36.6,-38.9399134,-16.4741872,-22.6185878,15.2,15.2
36.7,-37.7260556,-27.4261059,-19.500022,15.2,15.2
36.8,-40.1053941,-33.7439449,-11.4641095,15.2,15.2
36.9,-35.1996738,-78.4134358,-9.33654336,15.2,15.2
37.0,-40.4742453,-73.0744291,0.0891457564,15.2,15.2
37.1,-39.0455026,-74.5403331,0.535709528,15.2,15.2
37.2,-42.9246857,-94.1428048,6.11265927,15.2,15.2
37.3,-37.3621509,-89.2771501,0.956613173,15.2,15.2
37.4,-33.5787139,-82.7234165,7.48882869,15.2,15.2
37.5,-24.3997007,-77.6016106,-6.24276537,15.2,15.2
37.6,-25.6367224,-73.003239,-3.81614414,15.2,15.2
37.7,-18.6102793,-66.0160162,-8.91097699,15.2,15.2
37.8,-28.4649322,-61.6686449,-8.17277607,15.2,15.2
37.9,-22.8386642,-61.915128,-19.335178,15.2,15.2
38.0,-23.0913616,-65.4153317,-16.4825884,15.2,15.2
38.1,-17.8032229,-79.2664633,-10.3322991,15.2,15.2
38.2,-18.4417159,-76.5685042,-16.3311064,15.2,15.2
38.3,-13.8988107,-79.325988,-13.784721,15.2,15.2
38.4,-17.788786,-72.9236347,-18.8994541,15.2,15.2
38.5,-14.5979776,-74.8362509,-19.7080717,15.2,15.2
38.6,-7.89431878,-64.5805028,-22.5470781,15.2,15.2
38.7,-18.0151092,-54.0261782,-27.2771154,15.2,15.2
38.8,-22.0717225,-49.3967816,-32.6549629,15.2,15.2
38.9,-26.074628,-43.9320417,-36.1590375,15.2,15.2
39.0,-26.5614486,-52.349916,-42.6852689,15.2,15.2
39.1,-24.7163239,-48.3142895,-48.0825433,15.2,15.2
39.2,-23.9893476,-71.508458,-36.0215849,15.2,15.2
39.3,-24.6807135,-80.0572632,-41.9852982,15.2,15.2
39.4,-29.8541357,-77.4302233,-36.4697924,15.2,15.2
39.5,-25.9084463,-72.1874475,-33.7283661,15.2,15.2
39.6,-28.0851152,-72.7607049,-32.7420055,15.2,15.2
39.7,-24.5649069,-43.3498211,-56.9192748,15.2,15.2
39.8,-24.7316713,-37.5942018,-48.0628668,15.2,15.2
39.9,-16.9845163,-59.6106624,-43.5068247,15.2,15.2
40.0,-19.7426931,-93.3784624,-34.8941039,15.2,15.2
40.1,-21.0541046,-113.408684,-15.2580153,15.2,15.2
40.2,-18.5961662,-105.313539,-27.7063759,15.2,15.2
40.3,-24.0206839,-101.524764,-25.0150081,15.2,15.2
40.4,-22.6843948,-96.9915153,-21.9471252,15.2,15.2
40.5,-29.5283778,-82.5833749,-28.8662381,15.2,15.2
40.6,-35.1785436,-86.8168807,-31.2659463,15.2,15.2
40.7,-36.1176898,-94.8780104,-22.7687541,15.2,15.2
40.8,-31.8267505,-101.195727,-26.7091716,15.2,15.2
40.9,-26.7842911,-96.3678053,-25.1791054,15.2,15.2
41.0,-23.8340863,-77.5140144,-30.7869267,15.2,15.2
41.1,-23.200682,-61.5415629,-35.3617958,15.2,15.2
41.2,-26.6137382,-60.3438294,-36.1276156,15.2,15.2
41.3,-35.9638039,-61.5289054,-22.3756754,15.2,15.2
41.4,-40.913436,-90.4211452,-6.12387533,15.2,15.2
41.5,-52.2882612,-99.9505392,7.47419007,15.2,15.2
41.6,-43.9797292,-117.913884,14.4596458,15.2,15.2
41.7,-44.3482194,-134.620287,33.9912321,15.2,15.2
41.8,-49.7923063,-152.612654,39.1671043,15.2,15.2
41.9,-50.3046206,-167.8098,44.0828702,15.2,15.2
42.0,-54.8221521,-157.548098,47.9796079,15.2,15.2
42.1,-48.6110104,-152.487291,47.9216376,15.2,15.2
42.2,-51.595011,-136.675275,53.1632394,15.2,15.2
42.3,-42.4132641,-129.838649,50.7867945,15.2,15.2
42.4,-32.4604475,-127.177778,49.938241,15.2,15.2
42.5,-24.2345853,-106.724938,50.7403617,15.2,15.2
42.6,-28.7641977,-86.1399131,52.4715215,15.2,15.2
42.7,-24.4790346,-125.886073,59.9126115,15.2,15.2
42.8,-26.2964646,-135.256003,72.6401646,15.2,15.2
42.9,-32.6665509,-131.261758,75.5365829,15.2,15.2
43.0,-29.964383,-139.059785,71.6840987,15.2,15.2
43.1,-26.7996669,-137.751673,75.5403783,15.2,15.2
43.2,-36.5843407,-141.170194,85.3816266,15.2,15.2
43.3,-39.8399285,-142.443658,80.5663111,15.2,15.2
43.4,-40.3698411,-153.097263,87.0975026,15.2,15.2
43.5,-25.3211493,-151.779648,84.2495736,15.2,15.2
43.6,-33.3383466,-153.82154,78.1488724,15.2,15.2
43.7,-34.4337144,-147.846071,85.3865972,15.2,15.2
43.8,-29.1561741,-136.832921,76.7590458,15.2,15.2
43.9,-20.2940671,-110.257007,72.5307914,15.2,15.2
44.0,-17.0593546,-121.410789,75.2358303,15.2,15.2
